,date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,p_change_t1
360,2015/7/13,2855.7,2949.2,2869.05,2805.91,2333410.5,-29.36,-1.01,2793.994,2762.337,2882.811,3057087.75,2656335.81,2120532.59,-3.69
359,2015/7/14,2821.97,2843.25,2763.07,2717.03,1943684.25,-105.98,-3.69,2784.118,2751.641,2857.84,2745195,2631111.94,2134055.52,-0.18
358,2015/7/15,2725.92,2779.95,2757.95,2665.95,1859480.25,-5.12,-0.18,2813.912,2753.751,2836.755,2362172.25,2647102.26,2149044.58,-0.55
357,2015/7/16,2754.83,2780,2742.85,2708.72,1352461.62,-15.1,-0.55,2806.266,2756.611,2813.312,2090311.02,2573302.67,2136881.88,2.34
356,2015/7/17,2756.87,2834.18,2807.06,2723.74,1302411.12,64.21,2.34,2787.996,2779.09,2800.241,1758289.55,2519181.87,2133329.92,-0.83
355,2015/7/20,2798.56,2815.7,2783.76,2766.94,1308625,-23.3,-0.83,2770.938,2782.466,2794.276,1553332.45,2305210.1,2132869.21,-0.4
354,2015/7/21,2757.66,2799.82,2772.77,2743.15,1158265.75,-10.99,-0.4,2772.878,2778.498,2782.756,1396248.75,2070721.87,2122973.67,-1.19
353,2015/7/22,2757.28,2771,2739.79,2721.35,1066545.25,-32.98,-1.19,2769.246,2791.579,2767.484,1237661.75,1799917,2105507.99,1.86
352,2015/7/23,2741.42,2796.37,2790.76,2736.38,1135820.38,50.97,1.86,2778.828,2792.547,2759.822,1194333.5,1642322.26,2082219.85,-1.78
351,2015/7/24,2794.05,2807.62,2741.04,2735.3,1239289.12,-49.72,-1.78,2765.624,2776.81,2760.04,1181709.1,1469999.32,2052506.41,-9.04
350,2015/7/27,2698.8,2715.36,2493.29,2491.12,1366451,-247.75,-9.04,2707.53,2739.234,2750.786,1193274.3,1373303.37,2014819.59,-0.31
349,2015/7/28,2427.03,2531.23,2485.67,2400.87,1403388.5,-7.62,-0.31,2650.11,2711.494,2731.568,1242298.85,1319273.8,1975192.87,1.84
348,2015/7/29,2496.9,2535.6,2531.44,2459.08,930781.56,45.77,1.84,2608.44,2688.843,2721.297,1215146.11,1226403.93,1936753.1,-2.53
347,2015/7/30,2525.08,2548.27,2467.37,2459.92,869498.25,-64.07,-2.53,2543.762,2661.295,2708.953,1161881.69,1178107.59,1875705.13,-0.25
346,2015/7/31,2452.05,2490.66,2461.24,2432.49,747253.75,-6.13,-0.25,2487.802,2626.713,2702.902,1063474.61,1122591.86,1820886.86,0.75
345,2015/8/3,2433.24,2479.95,2479.72,2419.85,880734.12,18.48,0.75,2485.088,2596.309,2689.388,966331.24,1079802.77,1692506.43,2.22
344,2015/8/4,2476.16,2535.28,2534.71,2462.73,660323.19,54.99,2.22,2494.896,2572.503,2675.501,817718.17,1030008.51,1550365.19,-1.88
343,2015/8/5,2529.13,2537.35,2487.06,2485.6,628896.69,-47.65,-1.88,2486.02,2547.23,2669.404,757341.2,986243.66,1393080.33,-0.79
342,2015/8/6,2452.53,2505.53,2467.52,2446.96,478000.47,-19.54,-0.79,2486.05,2514.906,2653.726,679041.64,920461.66,1281391.96,1.47
341,2015/8/7,2489.81,2520.04,2503.8,2479.25,575632.38,36.28,1.47,2494.562,2491.182,2633.996,644717.37,854095.99,1162047.66,4.55
340,2015/8/10,2527.62,2626.36,2617.66,2517.95,1096266.12,113.86,4.55,2522.15,2503.619,2621.426,687823.77,827077.5,1100190.44,-1.03
339,2015/8/11,2612.95,2623.84,2590.71,2578.65,995842.56,-26.95,-1.03,2533.35,2514.123,2612.808,754927.64,786322.91,1052798.35,-1.14
338,2015/8/12,2562.68,2598.51,2561.13,2557.26,753525.31,-29.58,-1.14,2548.164,2517.092,2602.967,779853.37,768597.28,997500.61,0.77
337,2015/8/13,2562.87,2585.92,2580.78,2522.35,700807.44,19.65,0.77,2570.816,2528.433,2594.864,824414.76,751728.2,964917.9,-0.14
336,2015/8/14,2588.43,2592.17,2577.04,2565.59,729415.75,-3.74,-0.14,2585.464,2540.013,2583.363,855171.44,749944.4,936268.13,-1.03
335,2015/8/17,2560.37,2561.96,2550.47,2524.13,711338.19,-26.57,-1.03,2572.026,2547.088,2571.699,778185.85,733004.81,906403.79,-5.59
334,2015/8/18,2554.08,2572.21,2407.97,2405.83,1012487.12,-142.5,-5.59,2535.478,2534.414,2553.459,781514.76,768221.2,899114.86,0.93
333,2015/8/19,2379.21,2431.61,2430.28,2326.24,904853.19,22.31,0.93,2509.308,2528.736,2537.983,811780.34,795816.85,891030.25,-3.02
332,2015/8/20,2406.57,2421.03,2356.92,2356.33,683468.5,-73.36,-3.02,2464.536,2517.676,2516.291,808312.55,816363.66,868412.66,-3.63
331,2015/8/21,2336.45,2362.84,2271.36,2261.31,784675.5,-85.56,-3.63,2403.4,2494.432,2492.807,819364.5,837267.97,845681.98,-9.38
330,2015/8/24,2195.46,2203.63,2058.25,2046.84,1154203.88,-213.11,-9.38,2304.956,2438.491,2471.055,907937.64,843061.74,835069.62,-7.01
329,2015/8/25,1947.14,2044.56,1914.05,1890.38,1185695.75,-144.2,-7.01,2206.172,2370.825,2442.474,942579.36,862047.06,824184.99,1.48
328,2015/8/26,1930.2,2028.4,1942.45,1874.22,1241118,28.4,1.48,2108.606,2308.957,2413.025,1009832.33,910806.33,839701.81,7.84
327,2015/8/27,1989.59,2095.46,2094.72,1957.74,1165854.75,152.27,7.84,2056.166,2260.351,2394.392,1106309.58,957311.06,854519.63,3.11
326,2015/8/28,2120.36,2167.9,2159.96,2097.78,1152998.62,65.24,3.11,2033.886,2218.643,2379.328,1179974.2,999669.35,874806.88,2.34
325,2015/8/31,2135.6,2214.11,2210.45,2071.41,1171930.5,50.49,2.34,2064.326,2184.641,2365.864,1183519.52,1045728.58,889366.7,0.9
324,2015/9/1,2155.96,2239.46,2230.32,2103.48,1583103.5,19.87,0.9,2127.58,2166.876,2350.645,1263001.07,1102790.22,935505.71,0.6
323,2015/9/2,2143.24,2248.77,2243.63,2137.19,1660614.5,13.31,0.6,2187.816,2148.211,2338.473,1346900.37,1178366.35,987091.6,-4.89
322,2015/9/7,2215.18,2247.44,2133.98,2127.48,856720.56,-109.65,-4.89,2195.668,2125.917,2321.797,1285073.54,1195691.56,1006027.61,2.16
321,2015/9/8,2115.9,2185.4,2180.13,2084.03,619804.12,46.15,2.16,2199.702,2116.794,2305.613,1178434.64,1179204.42,1008236.19,1.43
320,2015/9/9,2186.37,2225.27,2211.2,2175.77,769629.75,31.07,1.43,2199.852,2132.089,2285.29,1097974.49,1140747.01,991904.37,-0.12
319,2015/9/10,2183.61,2218.14,2208.48,2175.37,530353.19,-2.72,-0.12,2195.484,2161.532,2266.179,887424.42,1075212.75,968629.91,-0.59
318,2015/9/11,2199.58,2218.82,2195.39,2180.23,362219.69,-13.09,-0.59,2185.836,2186.826,2247.892,627745.46,987322.92,949064.63,1.49
